185.80.128.80:443#LT [281.50ms 0.19Mbps]
85.155.191.72:2096#NL [281.58ms 0.29Mbps]
188.132.174.82:2053#TR [282.74ms 0.66Mbps]
5.101.50.226:443#FI [283.11ms 0.18Mbps]
72.56.77.30:2083#NL [283.72ms 0.40Mbps]
172.66.45.61:443#US [283.80ms 0.78Mbps]
104.20.51.42:443#DE [284.93ms 3.19Mbps]
213.111.181.20:8443#SE [285.29ms 0.36Mbps]
103.169.206.131:443#ID [285.54ms 0.37Mbps]
91.198.108.211:2053#AM [285.96ms 0.67Mbps]
85.121.183.24:2087#RO [286.72ms 0.34Mbps]
152.53.110.2:443#AT [287.30ms 0.31Mbps]
213.255.209.61:8443#CA [287.35ms 0.33Mbps]
23.88.97.94:8443#FR [287.53ms 0.85Mbps]
89.23.112.211:443#NL [287.85ms 0.48Mbps]
80.211.24.43:443#IT [289.10ms 0.25Mbps]
82.117.255.237:8443#RO [289.19ms 0.76Mbps]
178.105.137.225:443#FR [289.30ms 0.24Mbps]
38.213.228.141:443#MX [289.70ms 0.18Mbps]
194.154.29.164:443#CH [289.86ms 0.68Mbps]
194.154.29.151:8443#CH [289.90ms 0.53Mbps]
46.36.216.57:443#EE [290.28ms 2.00Mbps]
78.128.99.216:443#BG [290.55ms 0.26Mbps]
185.223.253.13:443#BG [290.94ms 2.84Mbps]
113.30.151.151:2053#IT [291.03ms 0.34Mbps]
5.45.115.238:8443#EE [291.50ms 1.59Mbps]
104.18.10.107:443#US [291.85ms 1.25Mbps]
37.221.210.113:443#HU [292.04ms 0.53Mbps]
185.130.46.202:443#SE [292.49ms 0.30Mbps]
85.206.161.198:443#LT [292.66ms 0.20Mbps]
216.238.88.154:8443#MX [293.45ms 0.73Mbps]
5.157.30.3:8443#IE [293.71ms 0.54Mbps]
104.20.49.234:443#DE [293.72ms 4.85Mbps]
104.18.37.25:443#US [294.06ms 1.52Mbps]
31.40.204.243:2053#BG [295.73ms 3.77Mbps]
185.253.75.119:443#IL [295.92ms 0.66Mbps]
46.62.251.203:443#FI [295.93ms 0.38Mbps]
85.90.196.11:443#RO [296.50ms 0.80Mbps]
78.140.223.131:443#PL [296.53ms 2.19Mbps]
95.217.237.91:443#FI [296.65ms 0.26Mbps]
38.54.59.70:443#FR [296.74ms 0.21Mbps]
104.26.7.164:443#US [297.12ms 1.55Mbps]
5.101.114.27:8443#EE [297.16ms 1.29Mbps]
